id,latitude,longitude,reason
8212,-38.3366407385754,141.6118383407593,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8279,-30.303965270521267,153.15079271793368,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8378,-17.766097572097898,168.27278137207034,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8387,43.51886697166336,-116.05086386203766,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8388,48.81468491765174,-123.60981702804567,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8400,36.54956932285258,29.11283075809479,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8410,-30.241903045568478,153.17991077899933,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8411,-30.2415369307136,153.17889153957367,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8418,-30.204811929010845,153.26513528823855,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8424,52.325301,-10.070472,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8449,35.006123,-86.887554,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8450,14.744926908591955,-17.549948808731006,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8471,5.28951125468148,73.61535072326662,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8474,5.308333333333334,73.61388888888888,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8480,5.246111111111111,73.53222222222222,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8492,-36.26943161030305,174.79565620422366,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8542,5.134030743632608,72.90596008300783,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8653,60.299,29.29,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8659,26.643479,34.05089,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8660,26.656319,34.043498,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8661,26.700274,34.11065,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8662,26.65117,34.063464,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8663,26.654363,33.996162,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8669,26.705114,34.10006,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8673,-45.796461489132305,170.7148805446923,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8675,9.709342905189718,-84.66067371075044,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8722,-23.046495,-44.249153,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8737,41.29431726315258,-1.8987464904785158,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8739,42.25125485078593,14.512497424293544,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8740,42.29734329328405,14.466090917849218,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8741,42.35943977496246,14.408588647056606,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8776,36.228039,33.788795,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8777,36.198919,33.781961,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8802,13.014885943757653,-61.25019550323487,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8804,-4.2876128907958355,55.69991111755372,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8807,-4.289538674076167,55.68600654602051,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8808,-4.3007081212926925,55.662317276000984,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8859,-4.309010209709838,55.676050186157234,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8876,23.03761684744142,-109.3907591700554,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8906,-17.6581301,-71.3554042,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8921,2.9447552584119316,72.85188674926759,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9018,25.67417,-80.09867,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9019,8.622222171140209,-83.23818719991928,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9023,8.616868113455352,-83.23688054662588,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9024,8.623878086108304,-83.23382215886454,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9076,45.046111,13.622778,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9077,45.043333,13.614444,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9155,34.03192752837311,-118.85539770126343,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9157,34.03181194186675,-118.74259471893312,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9158,-32.629183386681156,152.316555974326,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9159,-32.71315666581934,152.1568465232849,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9160,-32.71386041133046,152.15150356946302,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9162,32.35841944444444,-64.6413888888889,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9163,32.355780555555555,-64.64333333333335,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9164,32.46308055555556,-64.78805555555556,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9171,32.32877233513864,-64.68368053436281,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9245,38.837936201404126,22.886581420898438,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9248,38.83833755825204,22.88662433624268,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9295,25.6764,27.7569,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9297,27.5114,32.6614,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9317,19.167383565617566,-95.85811614990236,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9320,24.988878030214266,55.02145171165467,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9410,38.969919755358,26.5420138835907,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9412,38.971471241591864,26.489732265472412,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9414,39.01694971138852,26.55668020248413,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9471,57.68201370982283,-2.2707796096801762,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9472,57.699684346453644,-2.1228557825088505,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9481,33.41679444444444,-78.55005,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9482,32.95015277777778,-78.66669444444445,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9524,15.350286385504166,73.7800168991089,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9676,45.61422530705884,-75.90945475702038,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9805,45.304112,-107.973096,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9806,9.7004170473571,122.38569974899293,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9817,48.99289015501126,-67.01956272125246,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9822,9.66171560122694,122.42062850127286,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9823,9.659096670412898,122.40803869415194,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9825,9.832582918958433,122.36646793045317,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9826,9.826505433593184,122.36731056448303,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9828,9.8259,122.36,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9829,9.787157899185345,122.38969313819258,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9835,9.869387623359637,122.36933555228698,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9836,9.872906434029826,122.36929281667942,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9838,9.87699499481554,122.37391199827279,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9840,9.870666592243731,122.37950553848356,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9866,49.84975551170634,36.282370090484626,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9867,45.25875745598076,-74.1405487060547,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9874,-15.642900007986537,167.091059088707,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9939,7.097272828736071,72.87780761718751,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9943,-17.674569139154592,177.09227085113525,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9947,-16.753591679445716,179.93914604187015,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
9962,7.056984221408044,72.94883251190187,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
10002,6.9992495641334616,72.9430389404297,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
10003,7.006126,73.003181,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
10004,6.966996,72.980599,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
10005,6.949729641606716,72.98367977142335,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
